zip_code,zip_code_code
33189,80
33178,69
33018,8
33173,64
33135,33
33147,46
33167,59
33169,61
33187,79
33033,13
33193,82
33165,57
33157,52
33056,19
33155,50
33133,31
33031,11
33177,68
33176,67
33032,12
33168,60
33196,84
33144,43
33175,66
33150,48
33014,5
33138,36
33142,41
33183,75
33126,24
33186,78
33161,55
33054,17
33134,32
33179,70
33156,51
33055,18
33180,72
33190,81
33136,34
33141,40
33170,62
33162,56
33143,42
33184,76
33166,58
33015,6
33185,77
33158,53
33182,74
33030,10
33034,14
33127,25
33137,35
33194,83
33172,63
33140,39
33013,4
33160,54
33139,37
99999,87
33012,3
33174,65
33181,73
33010,2
33154,49
33146,45
33122,22
33132,30
33125,23
33131,29
33016,7
33145,44
33129,27
33130,28
33035,15
33149,47
33128,26
33027,9
3314,38
33039,16
3318,71
33116,21
0,0
33101,20
33310,86
33238,85
33002,1
